Loading mlx-community/Qwen3.5-2B-4bit with mlx-swift-lm 3.31.3, toolCallFormat=auto
Model loaded; resolvedToolCallFormat=xmlFunction
[1/17] C6-MP-001: 关空调
  toolCalls=0 [] elapsedMs=2460
[2/17] C6-MP-002: 有点冷
  toolCalls=1 [set_cabin_ac] elapsedMs=1136
[3/17] C6-MP-003: 屏幕太暗了
  toolCalls=0 [] elapsedMs=550
[4/17] C6-MP-004: 打开空调
  toolCalls=1 [set_cabin_ac] elapsedMs=798
[5/17] C6-MP-006: 空调调到24度
  toolCalls=1 [set_cabin_ac] elapsedMs=972
[6/17] C6-MP-008: 风量调到3挡
  toolCalls=1 [set_cabin_fan] elapsedMs=869
[7/17] C6-MP-010: 氛围灯调成红色
  toolCalls=1 [set_cabin_ambient_light] elapsedMs=1102
[8/17] C6-MP-014: 打开车窗
  toolCalls=1 [set_cabin_window] elapsedMs=970
[9/17] C6-NEG-001: 今天天气怎么样
  toolCalls=0 [] elapsedMs=530
[10/17] C6-NEG-006: 播放周杰伦的歌
  toolCalls=0 [] elapsedMs=569
[11/17] C6-TRAP-NEG-001: 别开空调，把主驾车窗打开一点
  toolCalls=0 [] elapsedMs=574
[12/17] C6-TRAP-LURE-001: 26度有点热，别再查温度
  toolCalls=0 [] elapsedMs=721
[13/17] C6-TRAP-CORR-001: 不是车窗，是屏幕亮度调暗
  toolCalls=1 [set_cabin_screen_brightness] elapsedMs=1007
[14/17] C6-TRAP-AMB-001: 有点闷，通通风
  toolCalls=1 [set_cabin_seat_ventilation] elapsedMs=986
[15/17] C6-TRAP-SAFE-001: 高速上把车门打开
  toolCalls=0 [] elapsedMs=702
[16/17] C6-TRAP-ASR-001: 座椅通分
  toolCalls=0 [] elapsedMs=542
[17/17] C6-TRAP-ASR-002: 空跳开一哈
  toolCalls=0 [] elapsedMs=750
Wrote /Users/wanglei/workspace/MAformac/Reports/qwen35-2b-spike-20260620-192146/qwen35-2b-s1-fixed/spike-e3-report.md
Wrote /Users/wanglei/workspace/MAformac/Reports/qwen35-2b-spike-20260620-192146/qwen35-2b-s1-fixed/spike-e3-results.json
Decision: go+LoRA: change3 可继续薄层验证，但 LoRA Day1 必采漏触发样本
